gene	process	chr	gene_function	ENSG
PDK2	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
PDK3	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
PDK4	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
PDP1	Pyruvate Metabolism	NA	[pyruvate dehydrogenase (lipoamide)] phosphatase activity; phosphoprotein phosphatase activity; protein serine/threonine phosphatase activity	NA
PDP2	Pyruvate Metabolism	NA	[pyruvate dehydrogenase (lipoamide)] phosphatase activity; phosphoprotein phosphatase activity; protein serine/threonine phosphatase activity	NA
PDPR	Pyruvate Metabolism	NA	[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity; aminomethyltransferase activity; oxidoreductase activity	NA
MUTYH	Replication & Transcription	1	MUTYH: Involved in the mitochondrial DNA base excision repair	ENSG00000132781
YRDC	Replication & Transcription	1	YRDC: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000196449
RNASEH1	Replication & Transcription	2	RNASEH1: May have role in the removal of RNA primers at the origin of replication on heavy and light strands	ENSG00000171865
NFE2L2	Replication & Transcription	2	NFE2L2: Regulates the expression of TFB1M and TFB2M which are two mitochondrial transcription factors	ENSG00000116044
MTERF4	Replication & Transcription	2	MTERF4: Mitochondrial transcription termination factor	ENSG00000122085
DGOUK	Replication & Transcription	2	DGOUK: Involved in the phosphorylation of recycled deoxyribonucleosides in mitochondria specific for guanosine, adenosine and inosine	ENSG00000114956
CMPK2	Replication & Transcription	2	CMPK2: Phosphorylates the deoxyribonucleoside mono phosphates specifically on dCMP	ENSG00000134326
TRMT61B	Replication & Transcription	2	TRMT61B: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000171103
CREB1	Replication & Transcription	2	CREB1: Promotes the transcription of mitochondrial genes	ENSG00000118260
QTRTD1	Replication & Transcription	3	QTRTD1: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000151576
PPARGC1A	Replication & Transcription	4	PPARGC1A: Regulates the expression of TFB1M and TFB2M which are two mitochondrial transcription factors	ENSG00000109819
TERT	Replication & Transcription	5	TERT: Role in the protection of mitochondrial integrity with a suggested role in mt-DNA replication and/or repair	ENSG00000164362
NSUN2	Replication & Transcription	5	NSUN2: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000037474
SLC29A1	Replication & Transcription	6	SLC29A1: Equilibrative nucleoside transporter 1 imports recycled deoxyribonucleosides from cytoplasm into mitochondria	ENSG00000112759
TRMT11	Replication & Transcription	6	TRMT11: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000066651
CDKAL1	Replication & Transcription	6	CDKAL1: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000145996
NRF1	Replication & Transcription	7	NRF1: Regulates the expression of TFB1M and TFB2M which are two mitochondrial transcription factors	ENSG00000106459
MTERF1	Replication & Transcription	7	MTERF1: Mitochondrial transcription termination factor	ENSG00000127989
MTERF3	Replication & Transcription	8	MTERF3: Mitochondrial transcription termination factor	ENSG00000156469
RRM2B	Replication & Transcription	8	RRM2B: Required for the de novo deoxyribonucloetide synthesis in nonproliferating cells supplying dNTPs to mtDNA synthesis	ENSG00000048392
RMRP	Replication & Transcription	9	RMRP: RNA component of mitochondrial RNA processing endoribonuclease: cleaves mitochondrial RNA at the priming site of mitochondrial DNA replication	ENSG00000277027
TRUB2	Replication & Transcription	9	TRUB2: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000167112
TRMT112	Replication & Transcription	11	TRMT112: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000173113
PUS3	Replication & Transcription	11	PUS3: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000110060
UNG	Replication & Transcription	12	UNG: prevent mutagenesis by eliminating uracil from DNA molecules	ENSG00000076248
MTERF2	Replication & Transcription	12	MTERF2: Mitochondrial transcription termination factor	ENSG00000120832
APEX1	Replication & Transcription	14	APEX1: Involved in the mitochondrial DNA base excision repair	ENSG00000100823
RPUSD2	Replication & Transcription	15	RPUSD2: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000166133
NME4	Replication & Transcription	16	NME4: Shows mitochondrial nucleoside diphosphate kinase activity	ENSG00000103202
NME3	Replication & Transcription	16	NME3: Shows mitochondrial nucleoside diphosphate kinase activity	ENSG00000103024
DUS2L	Replication & Transcription	16	DUS2L: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000167264
LIG3	Replication & Transcription	17	LIG3: involved in the mitochondrial DNA replication and repair	ENSG00000005156
NTM5	Replication & Transcription	17	NTM5: Pyrimidine 5', 3' deoxyribonucleotidase that dephosphorylates dTMP	ENSG00000205309
TRMT1	Replication & Transcription	19	TRMT1: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000104907
CDK5RAP1	Replication & Transcription	20	CDK5RAP1: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000101391
TRMT6	Replication & Transcription	20	TRMT6: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000089195
ALKBH1	Replication & Transcription	NA	oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen; 2-oxoglutarate as one donor; and incorporation of one atom each of oxygen into both donors	NA
ATAD3A	Replication & Transcription	NA	ATP binding; nucleoside-triphosphatase activity	NA
ATAD3B	Replication & Transcription	NA	ATP binding; nucleoside-triphosphatase activity	NA
C10orf2	Replication & Transcription	NA	5'-3' DNA helicase activity; ATP binding; single-stranded DNA binding	NA
DHX29	Replication & Transcription	NA	ATP binding; ATP-dependent helicase activity; ATP-dependent RNA helicase activity; G-quadruplex RNA binding; helicase activity	NA
DNA2	Replication & Transcription	NA	5'-flap endonuclease activity; ATP-dependent DNA helicase activity; single-stranded DNA endodeoxyribonuclease activity; single-stranded DNA-dependent ATPase activity	NA
ENDOG	Replication & Transcription	NA	endodeoxyribonuclease activity; endoribonuclease activity; endonuclease activity; metal ion binding; nucleic acid binding	NA
EXOG	Replication & Transcription	NA	hydrolase activity; metal ion binding; nucleic acid binding	NA
FEN1	Replication & Transcription	NA	DNA binding; endonuclease activity; flap endonuclease activity	NA
GK	Replication & Transcription	NA	glycerol kinase activity	NA
GK2	Replication & Transcription	NA	glycerol kinase activity	NA
LIG1	Replication & Transcription	NA	ATP binding; DNA binding; DNA ligase (ATP) activity	NA
NIF3L1	Replication & Transcription	NA		NA
NTHL1	Replication & Transcription	NA	4 iron; 4 sulfur cluster binding; DNA binding; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	NA
PHB	Replication & Transcription	NA		NA
POLG	Replication & Transcription	NA	3'-5'-exodeoxyribonuclease activity; DNA binding; DNA-directed DNA polymerase activity	NA
POLG2	Replication & Transcription	NA	DNA-directed DNA polymerase activity	NA
POLRMT	Replication & Transcription	NA	DNA binding; DNA-directed RNA polymerase activity	NA
RAD51	Replication & Transcription	NA	ATP binding; damaged DNA binding; DNA-dependent ATPase activity; protein binding; recombinase activity	NA
SSBP1	Replication & Transcription	NA	single-stranded DNA binding	NA
SUPV3L1	Replication & Transcription	NA	ATP binding; ATP-dependent RNA helicase activity; nucleic acid binding	NA
TEFM	Replication & Transcription	NA		NA
TFAM	Replication & Transcription	NA	sequence-specific DNA binding transcription factor activity	NA
TFB1M	Replication & Transcription	NA	rRNA (adenine) methyltransferase activity; rRNA (adenine-N6; N6-)-dimethyltransferase activity; transcription cofactor activity	NA
TFB2M	Replication & Transcription	NA	rRNA (adenine-N6; N6-)-dimethyltransferase activity; transcription cofactor activity	NA
TK2	Replication & Transcription	NA	ATP binding; deoxynucleoside kinase activity; kinase activity; phosphotransferase activity; alcohol group as acceptor; thymidine kinase activity	NA
TOP1MT	Replication & Transcription	NA	DNA binding; DNA topoisomerase activity; DNA topoisomerase type I activity; DNA topoisomerase type II (ATP-hydrolyzing) activity; protein kinase activity	NA
TOP3A	Replication & Transcription	NA	DNA binding; DNA topoisomerase activity; DNA topoisomerase type I activity; zinc ion binding	NA
APEX2	Replication & Transcription	X	APEX2: Involved in the mitochondrial DNA base excision repair	ENSG00000169188
TRMT2B	Replication & Transcription	X	TRMT2B: Shows posttranscriptional modifications activity in the human mitochondrial tRNAs	ENSG00000188917
GCLM	ROS Defense	1	GCLM: Catalyzes the first step reaction which combines cystein and glutamate to form glutamylcysteine	ENSG00000023909
GLRX2	ROS Defense	1	GLRX2: Involved in the control of mitochndrial protein gluthathionylation	ENSG00000023572
GCLC	ROS Defense	6	GCLC: Catalyzes the first step reaction which combines cystein and glutamate to form glutamylcysteine	ENSG00000001084
GSTA1	ROS Defense	6	GSTA1: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or proxide reduction detoxify harmful byproducts	ENSG00000243955
GSTA2	ROS Defense	6	GSTA2: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or proxide reduction detoxify harmful byproducts	ENSG00000244067
GSTA4	ROS Defense	6	GSTA4: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or proxide reduction detoxify harmful byproducts	ENSG00000170899
GSTP1	ROS Defense	11	GSTP1: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or proxide reduction detoxify harmful byproducts	ENSG00000084207
MPV17L	ROS Defense	16	MPV17L: May have a role in the metabolism of reactive oxygen species	ENSG00000156968
SCLC25A11	ROS Defense	17	SLC25A11: May be involved in the transport of gluthathione into the mitochondria	ENSG00000108528
SCLC25A10	ROS Defense	17	SLC25A10: May be involved in the transport of gluthathione into the mitochondria	ENSG00000183048
GSS	ROS Defense	20	GSS: Catalyzes the formation of gluthathione from glutamylcysteine by combining it with the glycine	ENSG00000100983
SOD1	ROS Defense	21	SOD1: May be involved in the removal of superoxides in the inter membrane space of mitochondria	ENSG00000142168
CAT	ROS Defense	NA	catalase activity; heme binding	NA
GLRX5	ROS Defense	NA	electron carrier activity; protein disulfide oxidoreductase activity	NA
GPX1	ROS Defense	NA	glutathione peroxidase activity	NA
GPX4	ROS Defense	NA	glutathione peroxidase activity; peroxidase activity; cis-stilbene-oxide hydrolase activity; epoxide hydrolase activity; juvenile hormone epoxide hydrolase activity	NA
GSR	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; glutathione-disulfide reductase activity; NADP binding; protein homodimerization activity; thioredoxin-disulfide reductase activity	NA
MGST1	ROS Defense	NA	glutathione transferase activity	NA
MPV17	ROS Defense	NA		NA
MSRA	ROS Defense	NA	peptide-methionine (S)-S-oxide reductase activity	NA
MSRB3	ROS Defense	NA	peptide-methionine (R)-S-oxide reductase activity; zinc ion binding	NA
NUDT2	ROS Defense	NA	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	NA
OGG1	ROS Defense	NA	damaged DNA binding; DNA-(apurinic or apyrimidinic site) lyase activity; oxidized purine nucleobase lesion DNA N-glycosylase activity	NA
OXR1	ROS Defense	NA		NA
PARK7	ROS Defense	NA	glyoxalase III activity| protein deglycase activity; transcription coactivator activity	NA
PRDX1	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PRDX2	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PRDX3	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PRDX4	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PRDX5	ROS Defense	NA	antioxidant activity; oxidoreductase activity	NA
ROMO1	ROS Defense	NA		NA
SOD2	ROS Defense	NA	antioxidant activity; metal ion binding; superoxide dismutase activity	NA
TXN	ROS Defense	NA	disulfide oxidoreductase activity; protein disulfide oxidoreductase activity	NA
TXN2	ROS Defense	NA	disulfide oxidoreductase activity; protein disulfide oxidoreductase activity	NA
TXNRD1	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; glutathione-disulfide reductase activity; NADP binding; protein homodimerization activity; thioredoxin-disulfide reductase activity	NA
TXNRD2	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; glutathione-disulfide reductase activity; NADP binding; protein homodimerization activity; thioredoxin-disulfide reductase activity	NA
RNASEL	Translation	1	RNASEL: Modulate the stability of mitochondrial mRNAsby interacting with MTIF2	ENSG00000135828
YARS	Translation	1	YARS: Aminoacyl-tRNA synthetases that catalyze the aminoacylation of tRNA by their cognate amino acid	ENSG00000134684
EIF2AK3	Translation	2	EIF2AK3: Metabolic-stress sensing protein kinase that phosphorylates and inactivates the alpha subunit of eukaryotic translation initiation factor 2	ENSG00000172071
DHX30	Translation	3	DHX30: May be involved in the biogenesis of mitochondrial ribosomes	ENSG00000132153
MRPS36	Translation	5	MRPS36: Mitoribosome which forms a part of mitochondrial translation machinary	ENSG00000134056
EIF2AK1	Translation	7	EIF2AK1: Inhibits protein synthesis at the translation initiation level, in response to various stress conditions	ENSG00000086232
SBDS	Translation	7	SBDS: Required for the assembly of mature ribosomes and ribosome biogenesis	ENSG00000126524
C12orf65	Translation	12	C12orf65: Codon-independent translation release factor that appears to contribute to peptide chain termination in the mitochondrial translation machinery	ENSG00000130921
MRPL57	Translation	13	MRPL57: Mitoribosome which forms a part of mitochondrial translation machinary	ENSG00000173141
MTIF3	Translation	13	MTIF3: Translation initiation factor could assist the mRNA to bind to rRNAs	ENSG00000122033
AARS	Translation	16	AARS: Alanyl-tRNA synthetase that catalyzes the attachment of alanine to tRNA(Ala)	ENSG00000090861
RPS19	Translation	19	RPS19: Ribosomal protein required for pre-rRNA processing and maturation of 40S ribosomal subunits	ENSG00000105372
AARS2	Translation	NA	alanine-tRNA ligase activity; ATP binding; nucleic acid binding	NA
BPHL	Translation	NA	serine hydrolase activity	NA
CARS2	Translation	NA	ATP binding; cysteine-tRNA ligase activity	NA
CCDC58	Translation	NA		NA
CHCHD1	Translation	NA		NA
CTU1	Translation	NA	ATP binding; tRNA binding	NA
DAP3	Translation	NA	structural constituent of ribosome	NA
DARS2	Translation	NA	aspartate-tRNA ligase activity; ATP binding; nucleic acid binding	NA
DDX28	Translation	NA	ATP binding; ATP-dependent RNA helicase activity; helicase activity; nucleic acid binding	NA
DHX29	Translation	NA	ATP binding; ATP-dependent helicase activity; helicase activity; metal ion binding; nucleic acid binding	NA
EARS2	Translation	NA	ATP binding; glutamate-tRNA ligase activity; tRNA binding	NA
EEFSEC	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
ELAC2	Translation	NA	endoribonuclease activity; producing 5'-phosphomonoesters	NA
ERAL1	Translation	NA	GTP binding	NA
FARS2	Translation	NA	ATP binding; magnesium ion binding; phenylalanine-tRNA ligase activity; tRNA binding	NA
FASTKD5	Translation	NA		NA
FTSJ2	Translation	NA	rRNA (uridine-2'-O-)-methyltransferase activity	NA
GADD45GIP1	Translation	NA		NA
GARS	Translation	NA	ATP binding; glycine-tRNA ligase activity	NA
GATC	Translation	NA	ATP binding; glutamyl-tRNA synthase (glutamine-hydrolyzing) activity	NA
GFM1	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
GFM2	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
GLYAT;	Translation	NA	N-acetyltransferase activity	NA
GLYATL2	Translation	NA	N-acetyltransferase activity	NA
GLYATL3	Translation	NA	N-acetyltransferase activity	NA
GTPBP10	Translation	NA	GTP binding; GTPase activity; magnesium ion binding	NA
GTPBP3	Translation	NA	GTP binding; GTPase activity	NA
GTPBP5	Translation	NA	GTP binding; GTPase activity; magnesium ion binding	NA
GUF1	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
HARS2	Translation	NA	ATP binding; histidine-tRNA ligase activity	NA
HEMK1	Translation	NA	nucleic acid binding; oxygen-dependent protoporphyrinogen oxidase activity; protein methyltransferase activity	NA
HRSP12	Translation	NA	deaminase activity	NA
HSD17B10	Translation	NA	3-hydroxyacyl-CoA dehydrogenase activity; 7-beta-hydroxysteroid dehydrogenase (NADP+) activity; acetoacetyl-CoA reductase activity; estradiol 17-beta-dehydrogenase activity; steroid dehydrogenase activity; testosterone dehydrogenase (NAD+) activity	NA
IARS2	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; isoleucine-tRNA ligase activity	NA
ICT1	Translation	NA	translation release factor activity	NA
KARS	Translation	NA	ATP binding; lysine-tRNA ligase activity; nucleic acid binding	NA
KIAA0391	Translation	NA		NA
LACTB2	Translation	NA	hydrolase activity	NA
LARS2	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; leucine-tRNA ligase activity	NA
LRPPRC	Translation	NA	mRNA 3'-UTR binding	NA
MALSU1	Translation	NA		NA
MARS2	Translation	NA	ATP binding; methionine-tRNA ligase activity	NA
METTL17	Translation	NA	copper ion binding; methyltransferase activity	NA
MPV17L2	Translation	NA	mitochondrial ribosome assembly	NA
MRP63	Translation	NA		NA
MRPL1	Translation	NA	RNA binding; structural constituent of ribosome	NA
MRPL10	Translation	NA	structural constituent of ribosome	NA
MRPL11	Translation	NA	structural constituent of ribosome	NA
MRPL12	Translation	NA	chromatin binding; structural constituent of ribosome	NA
MRPL13	Translation	NA	structural constituent of ribosome	NA
MRPL14	Translation	NA	structural constituent of ribosome	NA
MRPL15	Translation	NA	structural constituent of ribosome	NA
MRPL16	Translation	NA	rRNA binding; structural constituent of ribosome	NA
MRPL17	Translation	NA	structural constituent of ribosome	NA
MRPL18	Translation	NA	structural constituent of ribosome	NA
MRPL19	Translation	NA	structural constituent of ribosome	NA
MRPL2	Translation	NA	structural constituent of ribosome	NA
MRPL20	Translation	NA	rRNA binding; structural constituent of ribosome	NA
MRPL21	Translation	NA	RNA binding; structural constituent of ribosome	NA
MRPL22	Translation	NA	structural constituent of ribosome	NA
MRPL23	Translation	NA	nucleotide binding; structural constituent of ribosome	NA
MRPL24	Translation	NA	structural constituent of ribosome	NA
MRPL27	Translation	NA	structural constituent of ribosome	NA
MRPL28	Translation	NA	structural constituent of ribosome	NA
MRPL3	Translation	NA	structural constituent of ribosome	NA
MRPL30	Translation	NA	structural constituent of ribosome	NA
MRPL32	Translation	NA	structural constituent of ribosome	NA
MRPL33	Translation	NA	structural constituent of ribosome	NA
MRPL34	Translation	NA	structural constituent of ribosome	NA
MRPL35	Translation	NA	structural constituent of ribosome	NA
MRPL36	Translation	NA	structural constituent of ribosome	NA
MRPL37	Translation	NA	structural constituent of ribosome	NA
MRPL38	Translation	NA	phosphatidylethanolamine binding; structural constituent of ribosome	NA
MRPL39	Translation	NA	nucleotide binding; structural constituent of ribosome; threonine-tRNA ligase activity	NA
MRPL4	Translation	NA	structural constituent of ribosome	NA
MRPL40	Translation	NA	structural constituent of ribosome	NA
MRPL41	Translation	NA	structural constituent of ribosome	NA
MRPL42	Translation	NA	structural constituent of ribosome	NA
MRPL43	Translation	NA	structural constituent of ribosome	NA
MRPL44	Translation	NA	ribonuclease III activity; RNA binding; structural constituent of ribosome	NA
MRPL45	Translation	NA	structural constituent of ribosome	NA
MRPL46	Translation	NA	hydrolase activity; structural constituent of ribosome	NA
MRPL47	Translation	NA	structural constituent of ribosome	NA
MRPL48	Translation	NA	structural constituent of ribosome	NA
MRPL49	Translation	NA	structural constituent of ribosome; translation initiation factor activity	NA
MRPL50	Translation	NA	structural constituent of ribosome	NA
MRPL51	Translation	NA	structural constituent of ribosome	NA
MRPL52	Translation	NA	structural constituent of ribosome	NA
MRPL53	Translation	NA	structural constituent of ribosome	NA
MRPL54	Translation	NA	structural constituent of ribosome	NA
MRPL55	Translation	NA	mRNA binding; sequence-specific DNA binding transcription factor activity; structural constituent of ribosome	NA
MRPL9	Translation	NA	structural constituent of ribosome	NA
MRPS10	Translation	NA	structural constituent of ribosome	NA
MRPS11	Translation	NA	structural constituent of ribosome	NA
MRPS12	Translation	NA	structural constituent of ribosome	NA
MRPS14	Translation	NA	structural constituent of ribosome	NA
MRPS15	Translation	NA	structural constituent of ribosome	NA
MRPS16	Translation	NA	structural constituent of ribosome	NA
MRPS17	Translation	NA	structural constituent of ribosome	NA
MRPS18A	Translation	NA	structural constituent of ribosome	NA
MRPS18B	Translation	NA	structural constituent of ribosome	NA
MRPS18C	Translation	NA	structural constituent of ribosome	NA
MRPS2	Translation	NA	structural constituent of ribosome	NA
MRPS21	Translation	NA	structural constituent of ribosome	NA
MRPS22	Translation	NA	structural constituent of ribosome	NA
MRPS23	Translation	NA	structural constituent of ribosome	NA
MRPS24	Translation	NA	structural constituent of ribosome	NA
MRPS25	Translation	NA	structural constituent of ribosome	NA
MRPS26	Translation	NA	structural constituent of ribosome	NA
MRPS27	Translation	NA	sequence-specific DNA binding transcription factor activity	NA
MRPS28	Translation	NA	structural constituent of ribosome	NA
MRPS30	Translation	NA	structural constituent of ribosome	NA
MRPS31	Translation	NA	structural constituent of ribosome	NA
MRPS33	Translation	NA	structural constituent of ribosome	NA
MRPS34	Translation	NA	structural constituent of ribosome	NA
MRPS35	Translation	NA	structural constituent of ribosome	NA
MRPS5	Translation	NA	RNA binding; structural constituent of ribosome	NA
MRPS6	Translation	NA	rRNA binding; structural constituent of ribosome	NA
MRPS7	Translation	NA	RNA binding; structural constituent of ribosome	NA
MRPS9	Translation	NA	structural constituent of ribosome	NA
MRRF	Translation	NA	ribosomal large subunit binding	NA
mTErf3	Translation	NA	double-stranded DNA binding; single -stranded RNA binding; small ribosomal subunit rRNA binding	NA
mTerf4	Translation	NA	double-stranded DNA binding; rRNA binding; single-stranded RNA binding	NA
MTERFD1	Translation	NA	double-stranded DNA binding; single -stranded RNA binding; small ribosomal subunit rRNA binding	NA
MTERFD2	Translation	NA	double-stranded DNA binding; rRNA binding; single-stranded RNA binding	NA
MTFMT	Translation	NA	methionyl-tRNA formyltransferase activity	NA
MTG1	Translation	NA	GTP binding; GTPase activity	NA
MTIF2	Translation	NA	GTP binding; GTPase activity; translation initiation factor activity	NA
MTO1	Translation	NA	flavin adenine dinucleotide binding	NA
MTPAP	Translation	NA		NA
MTRF1	Translation	NA	translation release factor activity; codon specific	NA
MTRF1L	Translation	NA	translation release factor activity; codon specific	NA
NARS	Translation	NA	aspartate-tRNA ligase activity; asparagine-tRNA ligase activity; ATP binding; nucleic acid binding	NA
NARS2	Translation	NA	aspartate-tRNA ligase activity; asparagine-tRNA ligase activity; ATP binding; nucleic acid binding	NA
NOA1	Translation	NA	GTP binding; GTPase activity	NA
NSUN3	Translation	NA	methyltransferase activity	NA
NSUN4	Translation	NA	methyltransferase activity	NA
OSGEPL1	Translation	NA		NA
PARS2	Translation	NA	ATP binding; glycine-tRNA ligase activity; proline-tRNA ligase activity	NA
PDE12	Translation	NA		NA
PET112	Translation	NA	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	NA
PIN4	Translation	NA	peptidyl-prolyl cis-trans isomerase activity	NA
PNKD	Translation	NA		NA
PNPT1	Translation	NA	3'-5'-exoribonuclease activity; polyribonucleotide nucleotidyltransferase activity; RNA binding	NA
PPA2	Translation	NA	inorganic diphosphatase activity; magnesium ion binding	NA
PSTK	Translation	NA		NA
PTCD1	Translation	NA	poly(A) RNA binding	NA
PTCD3	Translation	NA		NA
PTRH2	Translation	NA	aminoacyl-tRNA hydrolase activity	NA
PUS1	Translation	NA	pseudouridine synthase activity; pseudouridylate synthase activity; RNA binding	NA
PUSL1	Translation	NA	pseudouridine synthase activity; RNA binding	NA
QARS	Translation	NA	ATP binding; glutamine-tRNA ligase activity	NA
QRSL1	Translation	NA	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	NA
QTRT1	Translation	NA	queuine tRNA-ribosyltransferase activity	NA
RARS	Translation	NA	arginine-tRNA ligase activity; ATP binding	NA
RARS2	Translation	NA	arginine-tRNA ligase activity; ATP binding	NA
RBFA	Translation	NA		NA
REXO2	Translation	NA	3'-5'-exoribonuclease activity; exonuclease activity; nucleic acid binding; oligonucleotidase activity	NA
RMND1	Translation	NA		NA
RNMTL1	Translation	NA	RNA binding; RNA methyltransferase activity	NA
RPUSD4	Translation	NA	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity; pseudouridine synthase activity; RNA binding	NA
SARS	Translation	NA	ATP binding; serine-tRNA ligase activity	NA
SARS2	Translation	NA	ATP binding; serine-tRNA ligase activity; tRNA binding	NA
SLIRP	Translation	NA	mRNA binding; nucleic acid binding; nucleotide binding	NA
TACO1	Translation	NA	protein phosphatase 1 binding	NA
TARS2	Translation	NA	ATP binding; threonine-tRNA ligase activity	NA
THG1L	Translation	NA	magnesium ion binding; tRNA guanylyltransferase activity	NA
TRIT1	Translation	NA	ATP binding; metal ion binding	NA
TRMT10C	Translation	NA	methyltransferase activity	NA
TRMT5	Translation	NA	tRNA (guanine-N1-)-methyltransferase activity; tRNA methyltransferase activity	NA
TRMU	Translation	NA	sulfurtransferase activity; tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity	NA
TRNT1	Translation	NA	polynucleotide adenylyltransferase activity; RNA binding; tRNA nucleotidyltransferase activity	NA
TSFM	Translation	NA	translation elongation factor activity	NA
TUFM	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
VARS	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; valine-tRNA ligase activity	NA
VARS2	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; valine-tRNA ligase activity	NA
WARS2	Translation	NA	ATP binding; tryptophan-tRNA ligase activity	NA
YARS2	Translation	NA	ATP binding; RNA binding; tyrosine-tRNA ligase activity	NA
DKC1	Translation	X	DKC1: Has an active role in telomerase stabilization and maintenance	ENSG00000130826
MT-RNR1	Translation (MT)	MT	MT-RNR1: mitochondrially encoded 12S RNA	ENSG00000211459
MT-RNR2	Translation (MT)	MT	MT-RNR2: mitochondrially encoded 16S RNA	ENSG00000210082
MT-TA	Translation (MT)	MT	MT-TA: mitochondrially encoded tRNA alanine	ENSG00000210127
MT-TC	Translation (MT)	MT	MT-TC: mitochondrially encoded tRNA cysteine	ENSG00000210140
MT-TD	Translation (MT)	MT	MT-TD: mitochondrially encoded tRNA aspartic acid	ENSG00000210154
MT-TE	Translation (MT)	MT	MT-TE: mitochondrially encoded tRNA glutamic acid	ENSG00000210194
MT-TF	Translation (MT)	MT	MT-TF: mitochondrially encoded tRNA phenylalanine	ENSG00000210049
MT-TG	Translation (MT)	MT	MT-TG: mitochondrially encoded tRNA glycine	ENSG00000210164
MT-TH	Translation (MT)	MT	MT-TH: mitochondrially encoded tRNA histidine	ENSG00000210176
MT-TI	Translation (MT)	MT	MT-TI: mitochondrially encoded tRNA isoleucine	ENSG00000210100
MT-TK	Translation (MT)	MT	MT-TK: mitochondrially encoded tRNA lysine	ENSG00000210156
MT-TL1	Translation (MT)	MT	MT-TL1: mitochondrially encoded tRNA leucine 1 (UUA/G)	ENSG00000209082
MT-TL2	Translation (MT)	MT	MT-TL2: mitochondrially encoded tRNA leucine 2 (CUN)	ENSG00000210191
MT-TM	Translation (MT)	MT	MT-TM: mitochondrially encoded tRNA methionine	ENSG00000210112
MT-TN	Translation (MT)	MT	MT-TN: mitochondrially encoded tRNA asparagine	ENSG00000210135
MT-TP	Translation (MT)	MT	MT-TP: mitochondrially encoded tRNA proline	ENSG00000210196
MT-TQ	Translation (MT)	MT	MT-TQ: mitochondrially encoded tRNA glutamine	ENSG00000210107
MT-TR	Translation (MT)	MT	MT-TR: mitochondrially encoded tRNA arginine	ENSG00000210174
MT-TS1	Translation (MT)	MT	MT-TS1: mitochondrially encoded tRNA serine 1 (UCN)	ENSG00000210151
